enota,leto,spremenljivka,vrednost
Polynesia,2010,Urban population (percent),44.3
Polynesia,2015,Urban population (percent),44.5
Polynesia,2018,Urban population (percent),44.4
Afghanistan,2005,Urban population (percent),22.7
Afghanistan,2005,Capital city population (thousands),2905.0
Afghanistan,2005,Capital city population (as a percentage of total population),11.6
Afghanistan,2010,Urban population (percent),23.7
Afghanistan,2010,Capital city population (thousands),3289.0
Afghanistan,2010,Capital city population (as a percentage of total population),11.4
Afghanistan,2015,Urban population (percent),24.8
Afghanistan,2015,Capital city population (thousands),3724.0
Afghanistan,2015,Capital city population (as a percentage of total population),11.0
Afghanistan,2018,Urban population (percent),25.5
Afghanistan,2018,Capital city population (thousands),4012.0
Albania,2005,Urban population (percent),46.7
Albania,2005,Capital city population (thousands),372.0
Albania,2005,Capital city population (as a percentage of total population),12.1
Albania,2010,Urban population (percent),52.2
Albania,2010,Capital city population (thousands),409.0
Albania,2010,Capital city population (as a percentage of total population),13.9
Albania,2015,Urban population (percent),57.4
Albania,2015,Capital city population (thousands),449.0
Albania,2015,Capital city population (as a percentage of total population),15.4
Albania,2018,Urban population (percent),60.3
Albania,2018,Capital city population (thousands),476.0
Algeria,2005,Urban population (percent),63.8
Algeria,2005,Capital city population (thousands),2282.0
Algeria,2005,Capital city population (as a percentage of total population),6.9
Algeria,2010,Urban population (percent),67.5
Algeria,2010,Capital city population (thousands),2432.0
Algeria,2010,Capital city population (as a percentage of total population),6.7
Algeria,2015,Urban population (percent),70.8
Algeria,2015,Capital city population (thousands),2592.0
Algeria,2015,Capital city population (as a percentage of total population),6.5
Algeria,2018,Urban population (percent),72.6
Algeria,2018,Capital city population (thousands),2694.0
American Samoa,2005,Urban population (percent),88.1
American Samoa,2010,Urban population (percent),87.6
American Samoa,2015,Urban population (percent),87.2
American Samoa,2018,Urban population (percent),87.2
American Samoa,2018,Capital city population (thousands),49.0
Andorra,2005,Urban population (percent),90.3
Andorra,2010,Urban population (percent),88.8
Andorra,2015,Urban population (percent),88.3
Andorra,2018,Urban population (percent),88.1
Andorra,2018,Capital city population (thousands),23.0
Angola,2005,Urban population (percent),56.0
Angola,2005,Capital city population (thousands),3872.0
Angola,2005,Capital city population (as a percentage of total population),19.8
Angola,2010,Urban population (percent),59.8
Angola,2010,Capital city population (thousands),5300.0
Angola,2010,Capital city population (as a percentage of total population),22.7
Angola,2015,Urban population (percent),63.4
Angola,2015,Capital city population (thousands),7023.0
Angola,2015,Capital city population (as a percentage of total population),25.2
Angola,2018,Urban population (percent),65.5
Angola,2018,Capital city population (thousands),7774.0
Anguilla,2005,Urban population (percent),100.0
Anguilla,2010,Urban population (percent),100.0
Anguilla,2015,Urban population (percent),100.0
Anguilla,2018,Urban population (percent),100.0
Anguilla,2018,Capital city population (thousands),1.0
Antigua and Barbuda,2005,Urban population (percent),29.2
Antigua and Barbuda,2010,Urban population (percent),26.2
Antigua and Barbuda,2015,Urban population (percent),25.0
Antigua and Barbuda,2018,Urban population (percent),24.6
Antigua and Barbuda,2018,Capital city population (thousands),21.0
Argentina,2005,Urban population (percent),90.0
Argentina,2005,Capital city population (thousands),13330.0
Argentina,2005,Capital city population (as a percentage of total population),34.1
Argentina,2010,Urban population (percent),90.8
Argentina,2010,Capital city population (thousands),14246.0
Argentina,2010,Capital city population (as a percentage of total population),34.6
Argentina,2015,Urban population (percent),91.5
Argentina,2015,Capital city population (thousands),14706.0
Argentina,2015,Capital city population (as a percentage of total population),33.9
Argentina,2018,Urban population (percent),91.9
Argentina,2018,Capital city population (thousands),14967.0
Armenia,2005,Urban population (percent),63.9
Armenia,2005,Capital city population (thousands),1087.0
Armenia,2005,Capital city population (as a percentage of total population),36.5
Armenia,2010,Urban population (percent),63.4
Armenia,2010,Capital city population (thousands),1066.0
Armenia,2010,Capital city population (as a percentage of total population),37.0
Armenia,2015,Urban population (percent),63.1
Armenia,2015,Capital city population (thousands),1071.0
Armenia,2015,Capital city population (as a percentage of total population),36.7
Armenia,2018,Urban population (percent),63.1
Armenia,2018,Capital city population (thousands),1080.0
Aruba,2005,Urban population (percent),44.9
Aruba,2010,Urban population (percent),43.1
Aruba,2015,Urban population (percent),43.1
Aruba,2018,Urban population (percent),43.4
Aruba,2018,Capital city population (thousands),30.0
Australia,2005,Urban population (percent),84.6
Australia,2005,Capital city population (thousands),366.0
Australia,2005,Capital city population (as a percentage of total population),1.8
Australia,2010,Urban population (percent),85.2
Australia,2010,Capital city population (thousands),398.0
Australia,2010,Capital city population (as a percentage of total population),1.8
Australia,2015,Urban population (percent),85.7
Australia,2015,Capital city population (thousands),429.0
Australia,2015,Capital city population (as a percentage of total population),1.8
Australia,2018,Urban population (percent),86.0
Australia,2018,Capital city population (thousands),448.0
Austria,2005,Urban population (percent),58.8
Austria,2005,Capital city population (thousands),1641.0
Austria,2005,Capital city population (as a percentage of total population),19.9
Austria,2010,Urban population (percent),57.4
Austria,2010,Capital city population (thousands),1731.0
Austria,2010,Capital city population (as a percentage of total population),20.6
Austria,2015,Urban population (percent),57.7
Austria,2015,Capital city population (thousands),1835.0
Austria,2015,Capital city population (as a percentage of total population),21.1
Austria,2018,Urban population (percent),58.3
Austria,2018,Capital city population (thousands),1901.0
Azerbaijan,2005,Urban population (percent),52.4
Azerbaijan,2005,Capital city population (thousands),1867.0
Azerbaijan,2005,Capital city population (as a percentage of total population),21.9
Azerbaijan,2010,Urban population (percent),53.4
Azerbaijan,2010,Capital city population (thousands),2062.0
Azerbaijan,2010,Capital city population (as a percentage of total population),22.8
Azerbaijan,2015,Urban population (percent),54.7
Azerbaijan,2015,Capital city population (thousands),2206.0
Azerbaijan,2015,Capital city population (as a percentage of total population),22.9
Azerbaijan,2018,Urban population (percent),55.7
Azerbaijan,2018,Capital city population (thousands),2286.0
Bahamas,2005,Urban population (percent),82.2
Bahamas,2010,Urban population (percent),82.4
Bahamas,2015,Urban population (percent),82.7
Bahamas,2018,Urban population (percent),83.0
Bahamas,2018,Capital city population (thousands),280.0
Bahrain,2005,Urban population (percent),88.4
Bahrain,2005,Capital city population (thousands),198.0
Bahrain,2005,Capital city population (as a percentage of total population),22.3
Bahrain,2010,Urban population (percent),88.6
Bahrain,2010,Capital city population (thousands),292.0
Bahrain,2010,Capital city population (as a percentage of total population),23.5
Bahrain,2015,Urban population (percent),89.0
Bahrain,2015,Capital city population (thousands),441.0
Bahrain,2015,Capital city population (as a percentage of total population),32.1
Bahrain,2018,Urban population (percent),89.3
Bahrain,2018,Capital city population (thousands),565.0
Bangladesh,2005,Urban population (percent),26.8
Bangladesh,2005,Capital city population (thousands),12331.0
Bangladesh,2005,Capital city population (as a percentage of total population),8.6
Bangladesh,2010,Urban population (percent),30.5
Bangladesh,2010,Capital city population (thousands),14731.0
Bangladesh,2010,Capital city population (as a percentage of total population),9.7
Bangladesh,2015,Urban population (percent),34.3
Bangladesh,2015,Capital city population (thousands),17597.0
Bangladesh,2015,Capital city population (as a percentage of total population),10.9
Bangladesh,2018,Urban population (percent),36.6
Bangladesh,2018,Capital city population (thousands),19578.0
Barbados,2005,Urban population (percent),32.8
Barbados,2010,Urban population (percent),31.9
Barbados,2015,Urban population (percent),31.2
Barbados,2018,Urban population (percent),31.1
Barbados,2018,Capital city population (thousands),89.0
Belarus,2005,Urban population (percent),72.4
Belarus,2005,Capital city population (thousands),1775.0
Belarus,2005,Capital city population (as a percentage of total population),18.4
Belarus,2010,Urban population (percent),74.7
Belarus,2010,Capital city population (thousands),1850.0
Belarus,2010,Capital city population (as a percentage of total population),19.5
Belarus,2015,Urban population (percent),77.2
Belarus,2015,Capital city population (thousands),1945.0
Belarus,2015,Capital city population (as a percentage of total population),20.5
Belarus,2018,Urban population (percent),78.6
Belarus,2018,Capital city population (thousands),2005.0
Belgium,2005,Urban population (percent),97.4
Belgium,2005,Capital city population (thousands),1853.0
Belgium,2005,Capital city population (as a percentage of total population),17.6
Belgium,2010,Urban population (percent),97.7
Belgium,2010,Capital city population (thousands),1926.0
Belgium,2010,Capital city population (as a percentage of total population),17.6
Belgium,2015,Urban population (percent),97.9
Belgium,2015,Capital city population (thousands),2002.0
Belgium,2015,Capital city population (as a percentage of total population),17.7
Belgium,2018,Urban population (percent),98.0
Belgium,2018,Capital city population (thousands),2050.0
Belize,2005,Urban population (percent),45.3
Belize,2010,Urban population (percent),45.2
Belize,2015,Urban population (percent),45.4
Belize,2018,Urban population (percent),45.7
Belize,2018,Capital city population (thousands),23.0
Benin,2005,Urban population (percent),40.5
Benin,2010,Urban population (percent),43.1
Benin,2015,Urban population (percent),45.7
Benin,2018,Urban population (percent),47.3
Benin,2018,Capital city population (thousands),285.0
Bermuda,2005,Urban population (percent),100.0
Bermuda,2010,Urban population (percent),100.0
Bermuda,2015,Urban population (percent),100.0
Bermuda,2018,Urban population (percent),100.0
Bermuda,2018,Capital city population (thousands),10.0
Bhutan,2005,Urban population (percent),31.0
Bhutan,2010,Urban population (percent),34.8
Bhutan,2015,Urban population (percent),38.7
Bhutan,2018,Urban population (percent),40.9
Bhutan,2018,Capital city population (thousands),203.0
Bolivia (Plurin. State of),2005,Urban population (percent),64.2
Bolivia (Plurin. State of),2010,Urban population (percent),66.4
Bolivia (Plurin. State of),2015,Urban population (percent),68.4
Bolivia (Plurin. State of),2018,Urban population (percent),69.4
Bolivia (Plurin. State of),2018,Capital city population (thousands),278.0
"Bonaire, St. Eustatius & Saba",2005,Urban population (percent),74.8
"Bonaire, St. Eustatius & Saba",2010,Urban population (percent),74.7
"Bonaire, St. Eustatius & Saba",2015,Urban population (percent),74.8
"Bonaire, St. Eustatius & Saba",2018,Urban population (percent),74.9
"Bonaire, St. Eustatius & Saba",2018,Capital city population (thousands),11.0
Bosnia and Herzegovina,2005,Urban population (percent),44.0
Bosnia and Herzegovina,2005,Capital city population (thousands),342.0
Bosnia and Herzegovina,2005,Capital city population (as a percentage of total population),9.0
Bosnia and Herzegovina,2010,Urban population (percent),45.6
Bosnia and Herzegovina,2010,Capital city population (thousands),342.0
Bosnia and Herzegovina,2010,Capital city population (as a percentage of total population),9.2
Bosnia and Herzegovina,2015,Urban population (percent),47.2
Bosnia and Herzegovina,2015,Capital city population (thousands),342.0
Bosnia and Herzegovina,2015,Capital city population (as a percentage of total population),9.7
Bosnia and Herzegovina,2018,Urban population (percent),48.2
Bosnia and Herzegovina,2018,Capital city population (thousands),343.0
Botswana,2005,Urban population (percent),55.9
Botswana,2010,Urban population (percent),62.4
Botswana,2015,Urban population (percent),67.2
Botswana,2018,Urban population (percent),69.4
Botswana,2018,Capital city population (thousands),269.0
Brazil,2005,Urban population (percent),82.8
Brazil,2005,Capital city population (thousands),3301.0
Brazil,2005,Capital city population (as a percentage of total population),1.8
Brazil,2010,Urban population (percent),84.3
Brazil,2010,Capital city population (thousands),3710.0
Brazil,2010,Capital city population (as a percentage of total population),1.9
Brazil,2015,Urban population (percent),85.8
Brazil,2015,Capital city population (thousands),4168.0
Brazil,2015,Capital city population (as a percentage of total population),2.0
Brazil,2018,Urban population (percent),86.6
Brazil,2018,Capital city population (thousands),4470.0
British Virgin Islands,2005,Urban population (percent),43.2
British Virgin Islands,2010,Urban population (percent),44.8
British Virgin Islands,2015,Urban population (percent),46.6
British Virgin Islands,2018,Urban population (percent),47.7
British Virgin Islands,2018,Capital city population (thousands),15.0
Brunei Darussalam,2005,Urban population (percent),73.2
Brunei Darussalam,2010,Urban population (percent),75.0
Brunei Darussalam,2015,Urban population (percent),76.7
Brunei Darussalam,2018,Urban population (percent),77.6
Brunei Darussalam,2018,Capital city population (thousands),41.0
Bulgaria,2005,Urban population (percent),70.6
Bulgaria,2005,Capital city population (thousands),1169.0
Bulgaria,2005,Capital city population (as a percentage of total population),15.2
Bulgaria,2010,Urban population (percent),72.3
Bulgaria,2010,Capital city population (thousands),1216.0
Bulgaria,2010,Capital city population (as a percentage of total population),16.4
Bulgaria,2015,Urban population (percent),74.0
Bulgaria,2015,Capital city population (thousands),1256.0
Bulgaria,2015,Capital city population (as a percentage of total population),17.5
Bulgaria,2018,Urban population (percent),75.0
Bulgaria,2018,Capital city population (thousands),1272.0
Burkina Faso,2005,Urban population (percent),21.5
Burkina Faso,2005,Capital city population (thousands),1328.0
Burkina Faso,2005,Capital city population (as a percentage of total population),9.9
Burkina Faso,2010,Urban population (percent),24.6
Burkina Faso,2010,Capital city population (thousands),1742.0
Burkina Faso,2010,Capital city population (as a percentage of total population),11.2
Burkina Faso,2015,Urban population (percent),27.5
Burkina Faso,2015,Capital city population (thousands),2200.0
Burkina Faso,2015,Capital city population (as a percentage of total population),12.2
Burkina Faso,2018,Urban population (percent),29.4
Burkina Faso,2018,Capital city population (thousands),2531.0
Burundi,2005,Urban population (percent),9.4
Burundi,2005,Capital city population (thousands),412.0
Burundi,2005,Capital city population (as a percentage of total population),5.6
Burundi,2010,Urban population (percent),10.6
Burundi,2010,Capital city population (thousands),556.0
Burundi,2010,Capital city population (as a percentage of total population),6.3
Burundi,2015,Urban population (percent),12.1
Burundi,2015,Capital city population (thousands),751.0
Burundi,2015,Capital city population (as a percentage of total population),7.4
Burundi,2018,Urban population (percent),13.0
Burundi,2018,Capital city population (thousands),899.0
Cabo Verde,2005,Urban population (percent),57.7
Cabo Verde,2010,Urban population (percent),61.8
Cabo Verde,2015,Urban population (percent),64.3
Cabo Verde,2018,Urban population (percent),65.7
Cabo Verde,2018,Capital city population (thousands),168.0
Cambodia,2005,Urban population (percent),19.2
Cambodia,2005,Capital city population (thousands),1317.0
Cambodia,2005,Capital city population (as a percentage of total population),9.9
Cambodia,2010,Urban population (percent),20.3
Cambodia,2010,Capital city population (thousands),1523.0
Cambodia,2010,Capital city population (as a percentage of total population),10.6
Cambodia,2015,Urban population (percent),22.2
Cambodia,2015,Capital city population (thousands),1779.0
Cambodia,2015,Capital city population (as a percentage of total population),11.5
Cambodia,2018,Urban population (percent),23.4
Cambodia,2018,Capital city population (thousands),1952.0
Cameroon,2005,Urban population (percent),48.5
Cameroon,2005,Capital city population (thousands),1781.0
Cameroon,2005,Capital city population (as a percentage of total population),10.2
Cameroon,2010,Urban population (percent),51.6
Cameroon,2010,Capital city population (thousands),2349.0
Cameroon,2010,Capital city population (as a percentage of total population),11.8
Cameroon,2015,Urban population (percent),54.6
Cameroon,2015,Capital city population (thousands),3097.0
Cameroon,2015,Capital city population (as a percentage of total population),13.6
Cameroon,2018,Urban population (percent),56.4
Cameroon,2018,Capital city population (thousands),3656.0
Canada,2005,Urban population (percent),80.1
Canada,2005,Capital city population (thousands),1122.0
Canada,2005,Capital city population (as a percentage of total population),3.5
Canada,2010,Urban population (percent),80.9
Canada,2010,Capital city population (thousands),1218.0
Canada,2010,Capital city population (as a percentage of total population),3.6
Canada,2015,Urban population (percent),81.3
Canada,2015,Capital city population (thousands),1308.0
Canada,2015,Capital city population (as a percentage of total population),3.6
Canada,2018,Urban population (percent),81.4
Canada,2018,Capital city population (thousands),1363.0
Cayman Islands,2005,Urban population (percent),100.0
Cayman Islands,2010,Urban population (percent),100.0
Cayman Islands,2015,Urban population (percent),100.0
Cayman Islands,2018,Urban population (percent),100.0
Cayman Islands,2018,Capital city population (thousands),35.0
Central African Republic,2005,Urban population (percent),38.1
Central African Republic,2005,Capital city population (thousands),644.0
Central African Republic,2005,Capital city population (as a percentage of total population),15.6
Central African Republic,2010,Urban population (percent),38.9
Central African Republic,2010,Capital city population (thousands),717.0
Central African Republic,2010,Capital city population (as a percentage of total population),16.1
Central African Republic,2015,Urban population (percent),40.3
Central African Republic,2015,Capital city population (thousands),798.0
Central African Republic,2015,Capital city population (as a percentage of total population),17.6
Central African Republic,2018,Urban population (percent),41.4
Central African Republic,2018,Capital city population (thousands),851.0
Chad,2005,Urban population (percent),21.8
Chad,2005,Capital city population (thousands),827.0
Chad,2005,Capital city population (as a percentage of total population),8.2
Chad,2010,Urban population (percent),22.0
Chad,2010,Capital city population (thousands),991.0
Chad,2010,Capital city population (as a percentage of total population),8.3
Chad,2015,Urban population (percent),22.5
Chad,2015,Capital city population (thousands),1187.0
Chad,2015,Capital city population (as a percentage of total population),8.5
Chad,2018,Urban population (percent),23.1
Chad,2018,Capital city population (thousands),1323.0
Channel Islands,2005,Urban population (percent),30.7
Channel Islands,2010,Urban population (percent),31.1
Channel Islands,2015,Urban population (percent),31.0
Channel Islands,2018,Urban population (percent),30.9
Channel Islands,2018,Capital city population (thousands),34.0
Chile,2005,Urban population (percent),86.8
Chile,2005,Capital city population (thousands),6025.0
Chile,2005,Capital city population (as a percentage of total population),37.3
Chile,2010,Urban population (percent),87.1
Chile,2010,Capital city population (thousands),6269.0
Chile,2010,Capital city population (as a percentage of total population),36.9
Chile,2015,Urban population (percent),87.4
Chile,2015,Capital city population (thousands),6523.0
Chile,2015,Capital city population (as a percentage of total population),36.7
Chile,2018,Urban population (percent),87.6
Chile,2018,Capital city population (thousands),6680.0
China,2005,Urban population (percent),42.5
China,2005,Capital city population (thousands),12991.0
China,2005,Capital city population (as a percentage of total population),1.0
China,2010,Urban population (percent),49.2
China,2010,Capital city population (thousands),16441.0
China,2010,Capital city population (as a percentage of total population),1.2
China,2015,Urban population (percent),55.5
China,2015,Capital city population (thousands),18421.0
China,2015,Capital city population (as a percentage of total population),1.3
China,2018,Urban population (percent),59.2
China,2018,Capital city population (thousands),19618.0
"China, Hong Kong SAR",2005,Urban population (percent),100.0
"China, Hong Kong SAR",2005,Capital city population (thousands),6828.0
"China, Hong Kong SAR",2005,Capital city population (as a percentage of total population),100.0
"China, Hong Kong SAR",2010,Urban population (percent),100.0
"China, Hong Kong SAR",2010,Capital city population (thousands),7025.0
"China, Hong Kong SAR",2010,Capital city population (as a percentage of total population),100.0
"China, Hong Kong SAR",2015,Urban population (percent),100.0
"China, Hong Kong SAR",2015,Capital city population (thousands),7246.0
"China, Hong Kong SAR",2015,Capital city population (as a percentage of total population),100.0
"China, Hong Kong SAR",2018,Urban population (percent),100.0
"China, Hong Kong SAR",2018,Capital city population (thousands),7429.0
"China, Macao SAR",2005,Urban population (percent),100.0
"China, Macao SAR",2005,Capital city population (thousands),483.0
"China, Macao SAR",2005,Capital city population (as a percentage of total population),100.0
"China, Macao SAR",2010,Urban population (percent),100.0
"China, Macao SAR",2010,Capital city population (thousands),537.0
"China, Macao SAR",2010,Capital city population (as a percentage of total population),100.0
"China, Macao SAR",2015,Urban population (percent),100.0
"China, Macao SAR",2015,Capital city population (thousands),601.0
"China, Macao SAR",2015,Capital city population (as a percentage of total population),100.0
"China, Macao SAR",2018,Urban population (percent),100.0
"China, Macao SAR",2018,Capital city population (thousands),632.0
Colombia,2005,Urban population (percent),76.0
Colombia,2005,Capital city population (thousands),7299.0
Colombia,2005,Capital city population (as a percentage of total population),16.9
Colombia,2010,Urban population (percent),78.0
Colombia,2010,Capital city population (thousands),8418.0
Colombia,2010,Capital city population (as a percentage of total population),18.3
Colombia,2015,Urban population (percent),79.8
Colombia,2015,Capital city population (thousands),9708.0
Colombia,2015,Capital city population (as a percentage of total population),20.1
Colombia,2018,Urban population (percent),80.8
Colombia,2018,Capital city population (thousands),10574.0
Comoros,2005,Urban population (percent),27.9
Comoros,2010,Urban population (percent),28.0
Comoros,2015,Urban population (percent),28.5
Comoros,2018,Urban population (percent),29.0
Comoros,2018,Capital city population (thousands),62.0
Congo,2005,Urban population (percent),61.0
Congo,2005,Capital city population (thousands),1269.0
Congo,2005,Capital city population (as a percentage of total population),34.1
Congo,2010,Urban population (percent),63.3
Congo,2010,Capital city population (thousands),1576.0
Congo,2010,Capital city population (as a percentage of total population),35.9
Congo,2015,Urban population (percent),65.5
Congo,2015,Capital city population (thousands),1958.0
Congo,2015,Capital city population (as a percentage of total population),39.2
Congo,2018,Urban population (percent),66.9
Congo,2018,Capital city population (thousands),2230.0
Cook Islands,2005,Urban population (percent),71.0
Cook Islands,2010,Urban population (percent),73.3
Cook Islands,2015,Urban population (percent),74.4
Cook Islands,2018,Urban population (percent),75.1
Cook Islands,2018,Capital city population (thousands),13.0
Costa Rica,2005,Urban population (percent),65.7
Costa Rica,2005,Capital city population (thousands),1114.0
Costa Rica,2005,Capital city population (as a percentage of total population),26.2
Costa Rica,2010,Urban population (percent),71.7
Costa Rica,2010,Capital city population (thousands),1202.0
Costa Rica,2010,Capital city population (as a percentage of total population),26.4
Costa Rica,2015,Urban population (percent),76.9
Costa Rica,2015,Capital city population (thousands),1297.0
Costa Rica,2015,Capital city population (as a percentage of total population),27.0
Costa Rica,2018,Urban population (percent),79.3
Costa Rica,2018,Capital city population (thousands),1358.0
CÙte díIvoire,2005,Urban population (percent),45.2
CÙte díIvoire,2010,Urban population (percent),47.3
CÙte díIvoire,2015,Urban population (percent),49.4
CÙte díIvoire,2018,Urban population (percent),50.8
CÙte díIvoire,2018,Capital city population (thousands),231.0
Croatia,2005,Urban population (percent),54.3
Croatia,2005,Capital city population (thousands),690.0
Croatia,2005,Capital city population (as a percentage of total population),15.8
Croatia,2010,Urban population (percent),55.2
Croatia,2010,Capital city population (thousands),688.0
Croatia,2010,Capital city population (as a percentage of total population),15.9
Croatia,2015,Urban population (percent),56.2
Croatia,2015,Capital city population (thousands),687.0
Croatia,2015,Capital city population (as a percentage of total population),16.2
Croatia,2018,Urban population (percent),56.9
Croatia,2018,Capital city population (thousands),686.0
Cuba,2005,Urban population (percent),76.1
Cuba,2005,Capital city population (thousands),2180.0
Cuba,2005,Capital city population (as a percentage of total population),19.3
Cuba,2010,Urban population (percent),76.6
Cuba,2010,Capital city population (thousands),2143.0
Cuba,2010,Capital city population (as a percentage of total population),18.9
Cuba,2015,Urban population (percent),76.9
Cuba,2015,Capital city population (thousands),2124.0
Cuba,2015,Capital city population (as a percentage of total population),18.5
Cuba,2018,Urban population (percent),77.0
Cuba,2018,Capital city population (thousands),2136.0
CuraÁao,2005,Urban population (percent),90.5
CuraÁao,2010,Urban population (percent),89.9
CuraÁao,2015,Urban population (percent),89.4
CuraÁao,2018,Urban population (percent),89.1
CuraÁao,2018,Capital city population (thousands),144.0
Cyprus,2005,Urban population (percent),68.3
Cyprus,2010,Urban population (percent),67.6
Cyprus,2015,Urban population (percent),66.9
Cyprus,2018,Urban population (percent),66.8
Cyprus,2018,Capital city population (thousands),269.0
Czechia,2005,Urban population (percent),73.6
Czechia,2005,Capital city population (thousands),1199.0
Czechia,2005,Capital city population (as a percentage of total population),11.7
Czechia,2010,Urban population (percent),73.3
Czechia,2010,Capital city population (thousands),1234.0
Czechia,2010,Capital city population (as a percentage of total population),11.7
Czechia,2015,Urban population (percent),73.5
Czechia,2015,Capital city population (thousands),1269.0
Czechia,2015,Capital city population (as a percentage of total population),12.0
Czechia,2018,Urban population (percent),73.8
Czechia,2018,Capital city population (thousands),1292.0
Dem. People's Rep. Korea,2005,Urban population (percent),59.8
Dem. People's Rep. Korea,2005,Capital city population (thousands),2805.0
Dem. People's Rep. Korea,2005,Capital city population (as a percentage of total population),11.7
Dem. People's Rep. Korea,2010,Urban population (percent),60.4
Dem. People's Rep. Korea,2010,Capital city population (thousands),2861.0
