enota,leto,spremenljivka,vrednost
5,2005,Rural population (percent growth rate per annum),-0.2
5,2010,Urban population (percent),82.4
5,2010,Urban population (percent growth rate per annum),1.5
5,2010,Rural population (percent growth rate per annum),-0.3
5,2015,Urban population (percent),83.5
5,2015,Urban population (percent growth rate per annum),1.3
5,2015,Rural population (percent growth rate per annum),-0.3
5,2018,Urban population (percent),84.1
142,2005,Urban population (percent),41.2
142,2005,Urban population (percent growth rate per annum),3.1
142,2005,Rural population (percent growth rate per annum),0.0
142,2010,Urban population (percent),44.8
142,2010,Urban population (percent growth rate per annum),2.8
142,2010,Rural population (percent growth rate per annum),-0.1
142,2015,Urban population (percent),48.0
142,2015,Urban population (percent growth rate per annum),2.4
142,2015,Rural population (percent growth rate per annum),-0.2
142,2018,Urban population (percent),49.9
143,2005,Urban population (percent),46.8
143,2005,Urban population (percent growth rate per annum),1.6
143,2005,Rural population (percent growth rate per annum),0.7
143,2010,Urban population (percent),48.0
143,2010,Urban population (percent growth rate per annum),1.9
143,2010,Rural population (percent growth rate per annum),1.0
143,2015,Urban population (percent),48.1
143,2015,Urban population (percent growth rate per annum),1.7
143,2015,Rural population (percent growth rate per annum),1.6
143,2018,Urban population (percent),48.2
30,2005,Urban population (percent),48.3
30,2005,Urban population (percent growth rate per annum),3.3
30,2005,Rural population (percent growth rate per annum),-1.7
30,2010,Urban population (percent),54.4
30,2010,Urban population (percent growth rate per annum),2.9
30,2010,Rural population (percent growth rate per annum),-2.0
30,2015,Urban population (percent),59.8
30,2015,Urban population (percent growth rate per annum),2.4
30,2015,Rural population (percent growth rate per annum),-2.0
30,2018,Urban population (percent),62.9
35,2005,Urban population (percent),41.1
35,2005,Urban population (percent growth rate per annum),3.0
35,2005,Rural population (percent growth rate per annum),0.3
35,2010,Urban population (percent),44.3
35,2010,Urban population (percent growth rate per annum),2.7
35,2010,Rural population (percent growth rate per annum),0.1
35,2015,Urban population (percent),47.2
35,2015,Urban population (percent growth rate per annum),2.5
35,2015,Rural population (percent growth rate per annum),0.2
35,2018,Urban population (percent),48.9
34,2005,Urban population (percent),30.7
34,2005,Urban population (percent growth rate per annum),2.8
34,2005,Rural population (percent growth rate per annum),1.2
34,2010,Urban population (percent),32.5
34,2010,Urban population (percent growth rate per annum),2.6
34,2010,Rural population (percent growth rate per annum),1.0
34,2015,Urban population (percent),34.5
34,2015,Urban population (percent growth rate per annum),2.5
34,2015,Rural population (percent growth rate per annum),0.8
34,2018,Urban population (percent),35.8
145,2005,Urban population (percent),65.8
145,2005,Urban population (percent growth rate per annum),2.7
145,2005,Rural population (percent growth rate per annum),1.0
145,2010,Urban population (percent),68.2
145,2010,Urban population (percent growth rate per annum),3.2
145,2010,Rural population (percent growth rate per annum),1.0
145,2015,Urban population (percent),70.4
145,2015,Urban population (percent growth rate per annum),2.7
145,2015,Rural population (percent growth rate per annum),0.7
145,2018,Urban population (percent),71.6
150,2005,Urban population (percent),71.9
150,2005,Urban population (percent growth rate per annum),0.3
150,2005,Rural population (percent growth rate per annum),-0.5
150,2010,Urban population (percent),72.9
150,2010,Urban population (percent growth rate per annum),0.5
150,2010,Rural population (percent growth rate per annum),-0.5
150,2015,Urban population (percent),73.9
150,2015,Urban population (percent growth rate per annum),0.3
150,2015,Rural population (percent growth rate per annum),-0.6
150,2018,Urban population (percent),74.5
151,2005,Urban population (percent),68.5
151,2005,Urban population (percent growth rate per annum),-0.4
151,2005,Rural population (percent growth rate per annum),-0.6
151,2010,Urban population (percent),68.9
151,2010,Urban population (percent growth rate per annum),-0.1
151,2010,Rural population (percent growth rate per annum),-0.5
151,2015,Urban population (percent),69.3
151,2015,Urban population (percent growth rate per annum),0.0
151,2015,Rural population (percent growth rate per annum),-0.3
151,2018,Urban population (percent),69.6
154,2005,Urban population (percent),78.9
154,2005,Urban population (percent growth rate per annum),0.6
154,2005,Rural population (percent growth rate per annum),-0.5
154,2010,Urban population (percent),80.1
154,2010,Urban population (percent growth rate per annum),1.1
154,2010,Rural population (percent growth rate per annum),-0.4
154,2015,Urban population (percent),81.4
154,2015,Urban population (percent growth rate per annum),0.9
154,2015,Rural population (percent growth rate per annum),-0.9
154,2018,Urban population (percent),82.2
39,2005,Urban population (percent),67.8
39,2005,Urban population (percent growth rate per annum),1.0
39,2005,Rural population (percent growth rate per annum),-0.2
39,2010,Urban population (percent),69.2
39,2010,Urban population (percent growth rate per annum),0.9
39,2010,Rural population (percent growth rate per annum),-0.4
39,2015,Urban population (percent),70.6
39,2015,Urban population (percent growth rate per annum),0.2
39,2015,Rural population (percent growth rate per annum),-1.1
39,2018,Urban population (percent),71.5
155,2005,Urban population (percent),77.3
155,2005,Urban population (percent growth rate per annum),0.7
155,2005,Rural population (percent growth rate per annum),-0.8
155,2010,Urban population (percent),78.5
155,2010,Urban population (percent growth rate per annum),0.6
155,2010,Rural population (percent growth rate per annum),-0.9
155,2015,Urban population (percent),79.4
155,2015,Urban population (percent growth rate per annum),0.6
155,2015,Rural population (percent growth rate per annum),-0.4
155,2018,Urban population (percent),79.9
9,2005,Urban population (percent),68.0
9,2005,Urban population (percent growth rate per annum),1.3
9,2005,Rural population (percent growth rate per annum),1.6
9,2010,Urban population (percent),68.1
9,2010,Urban population (percent growth rate per annum),1.8
9,2010,Rural population (percent growth rate per annum),1.7
9,2015,Urban population (percent),68.1
9,2015,Urban population (percent growth rate per annum),1.5
9,2015,Rural population (percent growth rate per annum),1.5
9,2018,Urban population (percent),68.2
53,2005,Urban population (percent),84.9
53,2005,Urban population (percent growth rate per annum),1.3
53,2005,Rural population (percent growth rate per annum),0.8
53,2010,Urban population (percent),85.3
53,2010,Urban population (percent growth rate per annum),1.8
53,2010,Rural population (percent growth rate per annum),1.0
53,2015,Urban population (percent),85.8
53,2015,Urban population (percent growth rate per annum),1.5
53,2015,Rural population (percent growth rate per annum),0.8
53,2018,Urban population (percent),86.1
54,2005,Urban population (percent),18.9
54,2005,Urban population (percent growth rate per annum),2.2
54,2005,Rural population (percent growth rate per annum),2.3
54,2010,Urban population (percent),19.0
54,2010,Urban population (percent growth rate per annum),2.3
54,2010,Rural population (percent growth rate per annum),2.2
54,2015,Urban population (percent),19.2
54,2015,Urban population (percent growth rate per annum),2.2
54,2015,Rural population (percent growth rate per annum),2.0
54,2018,Urban population (percent),19.4
57,2005,Urban population (percent),65.9
57,2005,Urban population (percent growth rate per annum),0.3
57,2005,Rural population (percent growth rate per annum),0.0
57,2010,Urban population (percent),66.6
57,2010,Urban population (percent growth rate per annum),0.2
57,2010,Rural population (percent growth rate per annum),-0.4
57,2015,Urban population (percent),67.9
57,2015,Urban population (percent growth rate per annum),1.0
57,2015,Rural population (percent growth rate per annum),-0.2
57,2018,Urban population (percent),68.7
61,2005,Urban population (percent),43.5
61,2005,Urban population (percent growth rate per annum),1.3
61,2005,Rural population (percent growth rate per annum),0.6
61,2010,Urban population (percent),44.3
61,2010,Urban population (percent growth rate per annum),0.9
61,2010,Rural population (percent growth rate per annum),0.2
61,2015,Urban population (percent),44.5
61,2015,Urban population (percent growth rate per annum),0.6
61,2015,Rural population (percent growth rate per annum),0.4
61,2018,Urban population (percent),44.4
4,2005,Urban population (percent),22.7
4,2005,Urban population (percent growth rate per annum),5.0
4,2005,Rural population (percent growth rate per annum),4.3
4,2005,Capital city population (thousands),"2,905"
4,2005,Capital city population (as a percentage of total population),11.6
4,2005,Capital city population (as a percentage of total urban population),51.0
4,2010,Urban population (percent),23.7
4,2010,Urban population (percent growth rate per annum),3.7
4,2010,Rural population (percent growth rate per annum),2.5
4,2010,Capital city population (thousands),"3,289"
4,2010,Capital city population (as a percentage of total population),11.4
4,2010,Capital city population (as a percentage of total urban population),48.1
4,2015,Urban population (percent),24.8
4,2015,Urban population (percent growth rate per annum),4.0
4,2015,Rural population (percent growth rate per annum),2.9
4,2015,Capital city population (thousands),"3,724"
4,2015,Capital city population (as a percentage of total population),11.0
4,2015,Capital city population (as a percentage of total urban population),44.5
4,2018,Urban population (percent),25.5
4,2018,Capital city population (thousands),"4,012"
8,2005,Urban population (percent),46.7
8,2005,Urban population (percent growth rate per annum),2.0
8,2005,Rural population (percent growth rate per annum),-2.1
8,2005,Capital city population (thousands),372
8,2005,Capital city population (as a percentage of total population),12.1
8,2005,Capital city population (as a percentage of total urban population),25.8
8,2010,Urban population (percent),52.2
8,2010,Urban population (percent growth rate per annum),1.3
8,2010,Rural population (percent growth rate per annum),-3.1
8,2010,Capital city population (thousands),409
8,2010,Capital city population (as a percentage of total population),13.9
8,2010,Capital city population (as a percentage of total urban population),26.6
8,2015,Urban population (percent),57.4
8,2015,Urban population (percent growth rate per annum),1.8
8,2015,Rural population (percent growth rate per annum),-2.5
8,2015,Capital city population (thousands),449
8,2015,Capital city population (as a percentage of total population),15.4
8,2015,Capital city population (as a percentage of total urban population),26.8
8,2018,Urban population (percent),60.3
8,2018,Capital city population (thousands),476
12,2005,Urban population (percent),63.8
12,2005,Urban population (percent growth rate per annum),2.6
12,2005,Rural population (percent growth rate per annum),-0.7
12,2005,Capital city population (thousands),"2,282"
12,2005,Capital city population (as a percentage of total population),6.9
12,2005,Capital city population (as a percentage of total urban population),10.7
12,2010,Urban population (percent),67.5
12,2010,Urban population (percent growth rate per annum),2.8
12,2010,Rural population (percent growth rate per annum),-0.5
12,2010,Capital city population (thousands),"2,432"
12,2010,Capital city population (as a percentage of total population),6.7
12,2010,Capital city population (as a percentage of total urban population),10.0
12,2015,Urban population (percent),70.8
12,2015,Urban population (percent growth rate per annum),2.9
12,2015,Rural population (percent growth rate per annum),-0.2
12,2015,Capital city population (thousands),"2,592"
12,2015,Capital city population (as a percentage of total population),6.5
12,2015,Capital city population (as a percentage of total urban population),9.2
12,2018,Urban population (percent),72.6
12,2018,Capital city population (thousands),"2,694"
16,2005,Urban population (percent),88.1
16,2005,Urban population (percent growth rate per annum),0.4
16,2005,Rural population (percent growth rate per annum),1.4
16,2010,Urban population (percent),87.6
16,2010,Urban population (percent growth rate per annum),-1.3
16,2010,Rural population (percent growth rate per annum),-0.4
16,2015,Urban population (percent),87.2
16,2015,Urban population (percent growth rate per annum),-0.1
16,2015,Rural population (percent growth rate per annum),0.5
16,2018,Urban population (percent),87.2
16,2018,Capital city population (thousands),49
20,2005,Urban population (percent),90.3
20,2005,Urban population (percent growth rate per annum),3.3
20,2005,Rural population (percent growth rate per annum),8.6
20,2010,Urban population (percent),88.8
20,2010,Urban population (percent growth rate per annum),1.0
20,2010,Rural population (percent growth rate per annum),4.2
20,2015,Urban population (percent),88.3
20,2015,Urban population (percent growth rate per annum),-1.7
20,2015,Rural population (percent growth rate per annum),-0.8
20,2018,Urban population (percent),88.1
20,2018,Capital city population (thousands),23
24,2005,Urban population (percent),56.0
24,2005,Urban population (percent growth rate per annum),5.7
24,2005,Rural population (percent growth rate per annum),0.9
24,2005,Capital city population (thousands),"3,872"
24,2005,Capital city population (as a percentage of total population),19.8
24,2005,Capital city population (as a percentage of total urban population),35.4
24,2010,Urban population (percent),59.8
24,2010,Urban population (percent growth rate per annum),4.9
24,2010,Rural population (percent growth rate per annum),1.8
24,2010,Capital city population (thousands),"5,300"
24,2010,Capital city population (as a percentage of total population),22.7
24,2010,Capital city population (as a percentage of total urban population),37.9
24,2015,Urban population (percent),63.4
24,2015,Urban population (percent growth rate per annum),4.7
24,2015,Rural population (percent growth rate per annum),1.6
24,2015,Capital city population (thousands),"7,023"
24,2015,Capital city population (as a percentage of total population),25.2
24,2015,Capital city population (as a percentage of total urban population),39.7
24,2018,Urban population (percent),65.5
24,2018,Capital city population (thousands),"7,774"
660,2005,Urban population (percent),100.0
660,2005,Urban population (percent growth rate per annum),2.6
660,2005,Rural population (percent growth rate per annum),0.0
660,2010,Urban population (percent),100.0
660,2010,Urban population (percent growth rate per annum),1.7
660,2010,Rural population (percent growth rate per annum),0.0
660,2015,Urban population (percent),100.0
660,2015,Urban population (percent growth rate per annum),1.2
660,2015,Rural population (percent growth rate per annum),0.0
660,2018,Urban population (percent),100.0
660,2018,Capital city population (thousands),1
28,2005,Urban population (percent),29.2
28,2005,Urban population (percent growth rate per annum),-0.6
28,2005,Rural population (percent growth rate per annum),2.2
28,2010,Urban population (percent),26.2
28,2010,Urban population (percent growth rate per annum),-1.0
28,2010,Rural population (percent growth rate per annum),2.0
28,2015,Urban population (percent),25.0
28,2015,Urban population (percent growth rate per annum),0.1
28,2015,Rural population (percent growth rate per annum),1.4
28,2018,Urban population (percent),24.6
28,2018,Capital city population (thousands),21
32,2005,Urban population (percent),90.0
32,2005,Urban population (percent growth rate per annum),1.3
32,2005,Rural population (percent growth rate per annum),-0.6
32,2005,Capital city population (thousands),"13,330"
32,2005,Capital city population (as a percentage of total population),34.1
32,2005,Capital city population (as a percentage of total urban population),37.8
32,2010,Urban population (percent),90.8
32,2010,Urban population (percent growth rate per annum),1.2
32,2010,Rural population (percent growth rate per annum),-0.7
32,2010,Capital city population (thousands),"14,246"
32,2010,Capital city population (as a percentage of total population),34.6
32,2010,Capital city population (as a percentage of total urban population),38.0
32,2015,Urban population (percent),91.5
32,2015,Urban population (percent growth rate per annum),1.2
32,2015,Rural population (percent growth rate per annum),-0.4
32,2015,Capital city population (thousands),"14,706"
32,2015,Capital city population (as a percentage of total population),33.9
32,2015,Capital city population (as a percentage of total urban population),37.0
32,2018,Urban population (percent),91.9
32,2018,Capital city population (thousands),"14,967"
51,2005,Urban population (percent),63.9
51,2005,Urban population (percent growth rate per annum),-0.8
51,2005,Rural population (percent growth rate per annum),-0.2
51,2005,Capital city population (thousands),"1,087"
51,2005,Capital city population (as a percentage of total population),36.5
51,2005,Capital city population (as a percentage of total urban population),57.0
51,2010,Urban population (percent),63.4
51,2010,Urban population (percent growth rate per annum),-0.9
51,2010,Rural population (percent growth rate per annum),-0.4
51,2010,Capital city population (thousands),"1,066"
51,2010,Capital city population (as a percentage of total population),37.0
51,2010,Capital city population (as a percentage of total urban population),58.4
51,2015,Urban population (percent),63.1
51,2015,Urban population (percent growth rate per annum),0.2
51,2015,Rural population (percent growth rate per annum),0.5
51,2015,Capital city population (thousands),"1,071"
51,2015,Capital city population (as a percentage of total population),36.7
51,2015,Capital city population (as a percentage of total urban population),58.2
51,2018,Urban population (percent),63.1
51,2018,Capital city population (thousands),"1,080"
533,2005,Urban population (percent),44.9
533,2005,Urban population (percent growth rate per annum),1.1
533,2005,Rural population (percent growth rate per annum),2.6
533,2010,Urban population (percent),43.1
533,2010,Urban population (percent growth rate per annum),-0.5
533,2010,Rural population (percent growth rate per annum),1.0
533,2015,Urban population (percent),43.1
533,2015,Urban population (percent growth rate per annum),0.5
533,2015,Rural population (percent growth rate per annum),0.5
533,2018,Urban population (percent),43.4
533,2018,Capital city population (thousands),30
36,2005,Urban population (percent),84.6
36,2005,Urban population (percent growth rate per annum),1.3
36,2005,Rural population (percent growth rate per annum),0.7
36,2005,Capital city population (thousands),366
36,2005,Capital city population (as a percentage of total population),1.8
36,2005,Capital city population (as a percentage of total urban population),2.1
36,2010,Urban population (percent),85.2
36,2010,Urban population (percent growth rate per annum),1.9
36,2010,Rural population (percent growth rate per annum),1.0
36,2010,Capital city population (thousands),398
36,2010,Capital city population (as a percentage of total population),1.8
36,2010,Capital city population (as a percentage of total urban population),2.1
36,2015,Urban population (percent),85.7
36,2015,Urban population (percent growth rate per annum),1.6
36,2015,Rural population (percent growth rate per annum),0.8
36,2015,Capital city population (thousands),429
36,2015,Capital city population (as a percentage of total population),1.8
36,2015,Capital city population (as a percentage of total urban population),2.1
36,2018,Urban population (percent),86.0
36,2018,Capital city population (thousands),448
40,2005,Urban population (percent),58.8
40,2005,Urban population (percent growth rate per annum),0.0
40,2005,Rural population (percent growth rate per annum),1.1
40,2005,Capital city population (thousands),"1,641"
40,2005,Capital city population (as a percentage of total population),19.9
40,2005,Capital city population (as a percentage of total urban population),33.8
40,2010,Urban population (percent),57.4
40,2010,Urban population (percent growth rate per annum),-0.1
40,2010,Rural population (percent growth rate per annum),1.1
40,2010,Capital city population (thousands),"1,731"
40,2010,Capital city population (as a percentage of total population),20.6
40,2010,Capital city population (as a percentage of total urban population),35.9
40,2015,Urban population (percent),57.7
40,2015,Urban population (percent growth rate per annum),0.7
40,2015,Rural population (percent growth rate per annum),0.5
40,2015,Capital city population (thousands),"1,835"
40,2015,Capital city population (as a percentage of total population),21.1
40,2015,Capital city population (as a percentage of total urban population),36.6
40,2018,Urban population (percent),58.3
40,2018,Capital city population (thousands),"1,901"
31,2005,Urban population (percent),52.4
31,2005,Urban population (percent growth rate per annum),1.4
31,2005,Rural population (percent growth rate per annum),0.6
31,2005,Capital city population (thousands),"1,867"
31,2005,Capital city population (as a percentage of total population),21.9
31,2005,Capital city population (as a percentage of total urban population),41.7
31,2010,Urban population (percent),53.4
31,2010,Urban population (percent growth rate per annum),1.5
31,2010,Rural population (percent growth rate per annum),0.7
31,2010,Capital city population (thousands),"2,062"
31,2010,Capital city population (as a percentage of total population),22.8
31,2010,Capital city population (as a percentage of total urban population),42.7
31,2015,Urban population (percent),54.7
31,2015,Urban population (percent growth rate per annum),1.7
31,2015,Rural population (percent growth rate per annum),0.7
31,2015,Capital city population (thousands),"2,206"
31,2015,Capital city population (as a percentage of total population),22.9
31,2015,Capital city population (as a percentage of total urban population),41.9
31,2018,Urban population (percent),55.7
31,2018,Capital city population (thousands),"2,286"
44,2005,Urban population (percent),82.2
44,2005,Urban population (percent growth rate per annum),2.1
44,2005,Rural population (percent growth rate per annum),1.8
44,2010,Urban population (percent),82.4
44,2010,Urban population (percent growth rate per annum),1.9
44,2010,Rural population (percent growth rate per annum),1.6
44,2015,Urban population (percent),82.7
44,2015,Urban population (percent growth rate per annum),1.5
44,2015,Rural population (percent growth rate per annum),1.0
44,2018,Urban population (percent),83.0
44,2018,Capital city population (thousands),280
48,2005,Urban population (percent),88.4
48,2005,Urban population (percent growth rate per annum),5.8
48,2005,Rural population (percent growth rate per annum),5.7
48,2005,Capital city population (thousands),198
48,2005,Capital city population (as a percentage of total population),22.3
48,2005,Capital city population (as a percentage of total urban population),25.2
48,2010,Urban population (percent),88.6
48,2010,Urban population (percent growth rate per annum),6.7
48,2010,Rural population (percent growth rate per annum),6.3
48,2010,Capital city population (thousands),292
48,2010,Capital city population (as a percentage of total population),23.5
48,2010,Capital city population (as a percentage of total urban population),26.6
48,2015,Urban population (percent),89.0
48,2015,Urban population (percent growth rate per annum),2.1
48,2015,Rural population (percent growth rate per annum),1.4
48,2015,Capital city population (thousands),441
48,2015,Capital city population (as a percentage of total population),32.1
48,2015,Capital city population (as a percentage of total urban population),36.1
48,2018,Urban population (percent),89.3
48,2018,Capital city population (thousands),565
50,2005,Urban population (percent),26.8
50,2005,Urban population (percent growth rate per annum),4.3
50,2005,Rural population (percent growth rate per annum),0.9
50,2005,Capital city population (thousands),"12,331"
50,2005,Capital city population (as a percentage of total population),8.6
50,2005,Capital city population (as a percentage of total urban population),32.1
50,2010,Urban population (percent),30.5
50,2010,Urban population (percent growth rate per annum),3.7
50,2010,Rural population (percent growth rate per annum),0.2
50,2010,Capital city population (thousands),"14,731"
50,2010,Capital city population (as a percentage of total population),9.7
50,2010,Capital city population (as a percentage of total urban population),31.8
50,2015,Urban population (percent),34.3
50,2015,Urban population (percent growth rate per annum),3.5
50,2015,Rural population (percent growth rate per annum),0.0
50,2015,Capital city population (thousands),"17,597"
50,2015,Capital city population (as a percentage of total population),10.9
50,2015,Capital city population (as a percentage of total urban population),31.8
50,2018,Urban population (percent),36.6
50,2018,Capital city population (thousands),"19,578"
52,2005,Urban population (percent),32.8
52,2005,Urban population (percent growth rate per annum),-0.3
52,2005,Rural population (percent growth rate per annum),0.6
52,2010,Urban population (percent),31.9
52,2010,Urban population (percent growth rate per annum),-0.2
52,2010,Rural population (percent growth rate per annum),0.7
52,2015,Urban population (percent),31.2
52,2015,Urban population (percent growth rate per annum),-0.1
52,2015,Rural population (percent growth rate per annum),0.5
52,2018,Urban population (percent),31.1
52,2018,Capital city population (thousands),89
112,2005,Urban population (percent),72.4
112,2005,Urban population (percent growth rate per annum),0.0
112,2005,Rural population (percent growth rate per annum),-2.3
112,2005,Capital city population (thousands),"1,775"
112,2005,Capital city population (as a percentage of total population),18.4
112,2005,Capital city population (as a percentage of total urban population),25.5
112,2010,Urban population (percent),74.7
112,2010,Urban population (percent growth rate per annum),0.3
112,2010,Rural population (percent growth rate per annum),-2.1
112,2010,Capital city population (thousands),"1,850"
112,2010,Capital city population (as a percentage of total population),19.5
112,2010,Capital city population (as a percentage of total urban population),26.2
112,2015,Urban population (percent),77.2
112,2015,Urban population (percent growth rate per annum),0.7
112,2015,Rural population (percent growth rate per annum),-2.1
112,2015,Capital city population (thousands),"1,945"
112,2015,Capital city population (as a percentage of total population),20.5
112,2015,Capital city population (as a percentage of total urban population),26.6
112,2018,Urban population (percent),78.6
112,2018,Capital city population (thousands),"2,005"
56,2005,Urban population (percent),97.4
56,2005,Urban population (percent growth rate per annum),0.6
56,2005,Rural population (percent growth rate per annum),-1.5
56,2005,Capital city population (thousands),"1,853"
56,2005,Capital city population (as a percentage of total population),17.6
56,2005,Capital city population (as a percentage of total urban population),18.0
56,2010,Urban population (percent),97.7
56,2010,Urban population (percent growth rate per annum),0.8
56,2010,Rural population (percent growth rate per annum),-1.3
56,2010,Capital city population (thousands),"1,926"
56,2010,Capital city population (as a percentage of total population),17.6
56,2010,Capital city population (as a percentage of total urban population),18.0
56,2015,Urban population (percent),97.9
56,2015,Urban population (percent growth rate per annum),0.7
56,2015,Rural population (percent growth rate per annum),-1.4
56,2015,Capital city population (thousands),"2,002"
56,2015,Capital city population (as a percentage of total population),17.7
56,2015,Capital city population (as a percentage of total urban population),18.1
56,2018,Urban population (percent),98.0
56,2018,Capital city population (thousands),"2,050"
84,2005,Urban population (percent),45.3
84,2005,Urban population (percent growth rate per annum),2.7
84,2005,Rural population (percent growth rate per annum),2.7
84,2010,Urban population (percent),45.2
84,2010,Urban population (percent growth rate per annum),2.5
84,2010,Rural population (percent growth rate per annum),2.6
84,2015,Urban population (percent),45.4
84,2015,Urban population (percent growth rate per annum),2.3
84,2015,Rural population (percent growth rate per annum),2.2
84,2018,Urban population (percent),45.7
84,2018,Capital city population (thousands),23
204,2005,Urban population (percent),40.5
204,2005,Urban population (percent growth rate per annum),4.1
204,2005,Rural population (percent growth rate per annum),2.3
204,2010,Urban population (percent),43.1
204,2010,Urban population (percent growth rate per annum),4.1
204,2010,Rural population (percent growth rate per annum),2.0
204,2015,Urban population (percent),45.7
